task,raw_input,input,output,raw_output,reasoning
acsa,Giá 53k size vừa.,giá giá tiền cỡ vừa .,giá tiền đồ uống tạm và lựa chọn đồ uống tạm,"{DRINKS#PRICES, neutral}, {DRINKS#STYLE&OPTIONS, neutral}","Nhãn {DRINKS#PRICES, neutral} được gán vì bài đánh giá đề cập đến giá của thức uống là 53k mà không có bất kỳ nhận xét tích cực hoặc tiêu cực nào về mức giá này, cho thấy người đánh giá có cảm xúc trung lập về giá cả. Nhãn {DRINKS#STYLE&OPTIONS, neutral} được gán vì bài đánh giá cũng đề cập đến kích cỡ của thức uống là size vừa, nhưng cũng không có nhận xét tích cực hoặc tiêu cực rõ ràng về lựa chọn này, cho thấy người đánh giá có cảm xúc trung lập về lựa chọn kích cỡ."
acsa,Nhưng nói chung cũng hơi đắt.,nhưng nói chung cũng hơi đắt .,giá tiền nhà hàng tệ,"{RESTAURANT#PRICES, negative}","Nhãn {RESTAURANT#PRICES, negative} được gán vì bài đánh giá đề cập đến giá cả của nhà hàng mà người đánh giá cho rằng hơi đắt. Điều này cho thấy người đánh giá không hài lòng với mức giá tại nhà hàng, do đó, nhận xét này được gán nhãn tiêu cực liên quan đến giá cả của nhà hàng."
acsa,Mình ăn rất hôi mùi dầu.,mình ăn rất hôi mùi dầu .,chất lượng đồ ăn tệ,"{FOOD#QUALITY, negative}","Nhãn {FOOD#QUALITY, negative} được gán vì bài đánh giá đề cập đến chất lượng thức ăn không tốt, cụ thể là mùi hôi của dầu. Điều này cho thấy người đánh giá không hài lòng với chất lượng thức ăn, do đó, nhận xét này được gán nhãn tiêu cực liên quan đến chất lượng thức ăn."
acsa,Mình ăn chưa baoh thấy mùi hôi hải sản.,mình ăn chưa baoh thấy mùi hôi hải sản .,chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}","Nhãn {FOOD#QUALITY, positive} được gán vì bài đánh giá đề cập đến chất lượng của hải sản không có mùi hôi, điều này cho thấy người đánh giá hài lòng với chất lượng thức ăn. Việc hải sản không có mùi hôi là một yếu tố quan trọng để đánh giá chất lượng của nó, do đó, nhận xét này được gán nhãn tích cực liên quan đến chất lượng thức ăn."
acsa,3 dĩa vs 2 lon Revive mà có 190k thui(.,num dĩa với num lon revive mà có giá tiền thui ( .,giá tiền nhà hàng tốt,"{RESTAURANT#PRICES, positive}","Nhãn {RESTAURANT#PRICES, positive} được gán vì bài đánh giá đề cập đến giá cả của nhà hàng với cảm xúc tích cực. Người đánh giá cho rằng giá cả cho 3 dĩa và 2 lon Revive chỉ là 190k, điều này cho thấy họ hài lòng với mức giá này. Do đó, nhận xét này được gán nhãn tích cực liên quan đến giá cả của nhà hàng."
acsa,Ở đây ngay khu vắng nên khách cũng không đông mấy.,ở đây ngay khu vắng nên khách cũng không đông mấy .,nhà hàng nói chung tạm,"{RESTAURANT#GENERAL, neutral}","Nhãn {RESTAURANT#GENERAL, neutral} được gán vì bài đánh giá đề cập đến vị trí của nhà hàng nằm ở khu vực vắng và không có nhiều khách, nhưng không có bất kỳ nhận xét tiêu cực hoặc tích cực nào về điều này. Đây chỉ là một thông tin khách quan về nhà hàng mà không liên quan đến chất lượng, giá cả, dịch vụ hay bất kỳ khía cạnh cụ thể nào khác của nhà hàng. Do đó, nhãn này được gán với lớp cảm xúc trung lập."
acsa,"Quán đông lắm, gọi món phải đợi hơi lâu, ko biết phải tại mình đi trễ ko, nhưng mà nghe nói ở đây giờ nào cũng đông cũng phải ngồi đợi một lúc hết.","quán đông lắm , gọi món phải đợi hơi lâu , không biết phải tại mình đi trễ không , nhưng mà nghe nói ở đây giờ nào cũng đông cũng phải ngồi đợi một lúc hết .",nhà hàng nói chung tốt và phục vụ tệ,"{RESTAURANT#GENERAL, positive}, {SERVICE#GENERAL, negative}","Nhãn {RESTAURANT#GENERAL, positive} được gán vì bài đánh giá đề cập đến việc quán luôn đông khách. Điều này cho thấy quán có sức hút lớn đối với khách hàng, và thường được xem là dấu hiệu của một nhà hàng chất lượng. Tuy nhiên, nhãn {SERVICE#GENERAL, negative} cũng được gán vì bài đánh giá nói rằng khách phải đợi lâu để gọi món. Điều này cho thấy sự không hài lòng với tốc độ phục vụ, và có thể làm giảm trải nghiệm của khách hàng tại nhà hàng."
acsa,"Mình uống trà sữa lài hạnh nhân khá thơm nha, vị hạnh nhân không đậm mấy nhưng mùi lài khá thơm, đậm vị trà hơi đắng nhẹ, độ ngọt vừa phải.","mình uống trà sữa lài hạnh nhân khá thơm nha , vị hạnh nhân không đậm mấy nhưng mùi lài khá thơm , đậm vị trà hơi đắng nhẹ , độ ngọt vừa phải .",chất lượng đồ uống tốt và lựa chọn đồ uống tạm,"{DRINKS#QUALITY, positive}, {DRINKS#STYLE&OPTIONS, neutral}","Nhãn {DRINKS#QUALITY, positive} được gán vì người đánh giá đã nói rằng trà sữa lài hạnh nhân khá thơm, vị trà hơi đắng nhẹ và độ ngọt vừa phải, cho thấy họ hài lòng với chất lượng của thức uống. Nhãn {DRINKS#STYLE&OPTIONS, neutral} được gán vì người đánh giá cũng đề cập đến vị hạnh nhân không đậm mấy nhưng mùi lài khá thơm, điều này không phản ánh một cảm xúc tích cực hoặc tiêu cực rõ ràng về các lựa chọn vị của thức uống, do đó nhãn này được đánh giá là trung lập."
acsa,"Không gian trang trí đơn giàn mà ấm cúng, nên mình cực thích.","không gian trang trí đơn giàn mà ấm cúng , nên mình cực thích .",không gian tốt,"{AMBIENCE#GENERAL, positive}","Nhãn {AMBIENCE#GENERAL, positive} được gán vì bài đánh giá đề cập đến không gian trang trí của nhà hàng. Người đánh giá mô tả không gian trang trí là đơn giản nhưng lại rất ấm cúng, và họ rất thích điều này. Điều này cho thấy họ có cảm nhận tích cực về không gian chung của nhà hàng, do đó nhãn này được gán là tích cực."
acsa,Chè lạnh thì hình như lúc nào cũng là sương sa sương sáo hột lựu.,chè lạnh thì hình như lúc nào cũng là sương sa sương sáo hột lựu .,lựa chọn đồ ăn tạm,"{FOOD#STYLE&OPTIONS, neutral}","Nhãn {FOOD#STYLE&OPTIONS, neutral} được gán vì bài đánh giá đề cập đến sự lựa chọn của món chè lạnh tại quán, cụ thể là sương sa sương sáo hột lựu. Tuy nhiên, người đánh giá không thể hiện rõ ràng sự hài lòng hay không hài lòng với sự lựa chọn này, chỉ đơn giản là nói rằng món chè lạnh thường là sương sa sương sáo hột lựu. Do đó, nhãn này được gán với cảm xúc trung lập."
