task,raw_input,input,output,raw_output
acsa,"Mới mua máy này Tại thegioididong thốt nốt cảm thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khỏe sóng ổn định, giá thành vừa với túi tiền, nhân viên tư vấn nhiệt tình","mới mua máy này tại thegioididong thốt nốt cảm thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khỏe sóng ổn định , giá thành vừa với túi tiền , nhân viên tư vấn nhiệt tình",máy ảnh tốt và tính năng tốt và pin tốt và giá tiền tốt và nói chung tốt và phục vụ với phụ kiện tốt,"{CAMERA, positive}, {FEATURES, positive}, {BATTERY, positive}, {PRICE, positive}, {GENERAL, positive}, {SER_ACC, positive}"
acsa,Pin kém còn lại miễn chê mua 8/3/2019 tình trạng pin còn 88% có ai giống tôi không,pin kém còn lại miễn chê mua num num num tình trạng pin còn num % có ai giống tôi không,pin tệ và nói chung tốt,"{BATTERY, negative}, {GENERAL, positive}"
acsa,Sao lúc gọi điện thoại màn hình bị chấm nhỏ nháy gần camera trước vậy(lúc có lúc không),sao lúc gọi điện thoại màn hình bị chấm nhỏ nháy gần camera trước vậy ( lúc có lúc không ),tính năng tệ,"{FEATURES, negative}"
acsa,"Mọi người cập nhật phần mềm lại , nó sẽ bớt tốn pin, mình đã thử rồi, mọi thứ cũng ok, nhưng vân tay ko nhạy","mọi người cập nhật phần mềm lại , nó sẽ bớt tốn pin , mình đã thử rồi , mọi thứ cũng ok , nhưng vân tay không nhạy",tính năng tệ và pin tạm và nói chung tạm,"{FEATURES, negative}, {BATTERY, neutral}, {GENERAL, neutral}"
acsa,"Mới mua Sài được 1 tháng thấy pin rất trâu, Sài bao mượt . Nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu ko biết sao nó ko nghe được nữa.. mất rút tai nghe ra cắm vào lại thì nó mới nghe được...","mới mua sài được num tháng thấy pin rất trâu , sài bao mượt . nhưng có num lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu không biết sao nó không nghe được nữa . . mất rút tai nghe ra cắm vào lại thì nó mới nghe được",pin tốt và hiệu suất tốt và phục vụ với phụ kiện tệ,"{BATTERY, positive}, {PERFORMANCE, positive}, {SER_ACC, negative}"
acsa,"Xài tốt, rất mượt, pin trâu nếu các bạn để độ sáng vừa đủ, nhân viên nhiệt tình, vui vẻ, nói chung là tầm giá này thì máy này là quá tốt rồi","xài tốt , rất mượt , pin trâu nếu các bạn để độ sáng vừa đủ , nhân viên nhiệt tình , vui vẻ , nói chung là tầm giá này thì máy này là quá tốt rồi",pin tạm và hiệu suất tốt và giá tiền tạm và nói chung tốt và phục vụ với phụ kiện tốt,"{BATTERY, neutral}, {PERFORMANCE, positive}, {PRICE, neutral}, {GENERAL, positive}, {SER_ACC, positive}"
acsa,Mình mới xài được 7 tháng xuống 7% pin. Chả hiểu máy mới kiểu gì nữa. Dùng cơ bản lướt web cơ bản game ko chơi,mình mới xài được num tháng xuống num % pin . chả hiểu máy mới kiểu gì nữa . dùng cơ bản lướt web cơ bản game không chơi,pin tệ,"{BATTERY, negative}"
acsa,"Hôm qua ngày 23/6/2020 e ra thế giới di động mua chiếc dthoai galaxy A51 ,. Lúc đầu bên cửa hàng báo giá 7.790.00đ được tặng phiếu mua hàng 250k, lúc thanh toán thì nhân viên lại thanh toán 7.990.000đ không có phiếu mua hàng , đi 20km xuống mua thoai ,tối về đến nhà nhân viên mới gọi đến có xin lỗi vì sai xót và bảo mình xuống đó nhận phiếu mua hàng 250k.... chán quá, đúng là làm mất thời gian ..","hôm qua ngày num num num em ra thế giới di động mua chiếc dthoai galaxy a num , . lúc đầu bên cửa hàng báo giá num . num . num đ được tặng phiếu mua hàng giá tiền , lúc thanh toán thì nhân viên lại thanh toán num . num . num đ không có phiếu mua hàng , đi giá tiền m xuống mua thoai , tối về đến nhà nhân viên mới gọi đến có xin lỗi vì sai xót và bảo mình xuống đó nhận phiếu mua hàng giá tiền . chán quá , đúng là làm mất thời gian . .",phục vụ với phụ kiện tệ,"{SER_ACC, negative}"
acsa,"Tại sao điện thoại mới mà sạc nó nóng máy lên quá trời. T đã tắt tất cả mạng, ứng dung, game và cấm ko cho chạy nền, cũng ko vừa sạc vừa dùng mà điện thoại nóng quá trời. Sạc 3 tiếng mới đầy","tại sao điện thoại mới mà sạc nó nóng máy lên quá trời . thứ đã tắt tất cả mạng , ứng dung , game và cấm không cho chạy nền , cũng không vừa sạc vừa dùng mà điện thoại nóng quá trời . sạc num tiếng mới đầy",pin tệ,"{BATTERY, negative}"
acsa,"Lúc đầu định mua samsung vào shop nhân viên tư vấn oppo a9. Thất vọng thực sự khi dùng oppo. Màn hình hiển thị tối om. Máy chơi game giật lang khó chịu vl. Sạc thì lâu, k bao giờ dungg oppo nữa.","lúc đầu định mua samsung vào cửa hàng nhân viên tư vấn opo a num . thất vọng thực sự khi dùng opo . màn hình hiển thị tối om . máy chơi game giật lang khó chịu vl . sạc thì lâu , không bao giờ dung opo nữa .",màn hình tệ và pin tệ và hiệu suất tệ và phục vụ với phụ kiện tệ,"{SCREEN, negative}, {BATTERY, negative}, {PERFORMANCE, negative}, {SER_ACC, negative}"
acsa,Mọi thứ đều ngon trong tầm giá. Lần đầu xài Xiaomi cảm thấy rất hài lòng về chất lượng,mọi thứ đều ngon trong tầm giá . lần đầu xài xiaomi cảm thấy rất hài lòng về chất lượng,giá tiền tạm và nói chung tốt và phục vụ với phụ kiện tốt,"{PRICE, neutral}, {GENERAL, positive}, {SER_ACC, positive}"
acsa,"Khá ổn trong tầm giá, cam đẹp, sạc nhanh, màn hình đẹp âm thanh hay rất phù hợp với người thích chơi game tuy nhiên màn hình hơi tối so với ngoài trời","khá ổn trong tầm giá , cam đẹp , sạc nhanh , màn hình đẹp âm thanh hay rất phù hợp với người thích chơi game tuy nhiên màn hình hơi tối so với ngoài trời",màn hình tạm và máy ảnh tốt và tính năng tốt và pin tốt và giá tiền tạm và nói chung tốt,"{SCREEN, neutral}, {CAMERA, positive}, {FEATURES, positive}, {BATTERY, positive}, {PRICE, neutral}, {GENERAL, positive}"
acsa,Đi thoại mượt chơi game ngon Âm báo thức bật maxloa luôn nghe vẫn nhỏ Nhân viên phục vụ nhiệt tình,đi thoại mượt chơi game ngon âm báo thức bật maxloa luôn nghe vẫn nhỏ nhân viên phục vụ nhiệt tình,tính năng tệ và hiệu suất tốt và phục vụ với phụ kiện tốt,"{FEATURES, negative}, {PERFORMANCE, positive}, {SER_ACC, positive}"
acsa,"Máy rất tốt trong tầm giá. Pin trâu, màn hình đẹp, to, camera đẹp, chơi các tựa game ở cấu hình vừa phải thì ổn, chỉ có đều là cảm biến vân tay quang học trong màn hình hơi chậm, k có hỗ trợ chụp đêm nên chụp trong đêm hơi xấu. Còn nv phục vụ nhiệt tình và chu đáo","máy rất tốt trong tầm giá . pin trâu , màn hình đẹp , to , camera đẹp , chơi các tựa game ở cấu hình vừa phải thì ổn , chỉ có đều là cảm biến vân tay quang học trong màn hình hơi chậm , không có hỗ trợ chụp đêm nên chụp trong đêm hơi xấu . còn nhân viên phục vụ nhiệt tình và chu đáo",màn hình tốt và máy ảnh tạm và tính năng tệ và pin tốt và hiệu suất tốt và giá tiền tạm và nói chung tốt và phục vụ với phụ kiện tốt,"{SCREEN, positive}, {CAMERA, neutral}, {FEATURES, negative}, {BATTERY, positive}, {PERFORMANCE, positive}, {PRICE, neutral}, {GENERAL, positive}, {SER_ACC, positive}"
acsa,"Mình mua dc 1 tuần máy đang phát trực tiếp tự nhiên tắt nguồn, bắt sống wifi quá yêu, hối hận","mình mua được num tuần máy đang phát trực tiếp tự nhiên tắt nguồn , bắt sống wifi quá yêu , hối hận",tính năng tệ và hiệu suất tệ và nói chung tệ,"{FEATURES, negative}, {PERFORMANCE, negative}, {GENERAL, negative}"
acsa,"Sản phẩm quá tuyệt vời, iphone 7plus camera đẹp, chơi game thì không sợ 1 game nào nặng cả, rất mượt, nhưng game nào có đồ họa cao chơi sẽ bị sụt pin rất nhanh, máy nóng.. nhưng không sao, iphone 7 plus tuyệt vời lắm rồi","sản phẩm quá tuyệt vời , iphone num plus camera đẹp , chơi game thì không sợ num game nào nặng cả , rất mượt , nhưng game nào có đồ họa cao chơi sẽ bị sụt pin rất nhanh , máy nóng . . nhưng không sao , iphone num plus tuyệt vời lắm rồi",máy ảnh tốt và pin tệ và hiệu suất tạm và nói chung tốt,"{CAMERA, positive}, {BATTERY, negative}, {PERFORMANCE, neutral}, {GENERAL, positive}"
acsa,Dùng ok.. Mượt k nóng..( đt có 5 6 triệu mà mở max cấu hình ròi kêu nóng) Nhân viên nhiệt tình..,dùng ok . . mượt không nóng . . ( điện thoại có giá tiền mà mở siêu cấu hình ròi kêu nóng ) nhân viên nhiệt tình . .,hiệu suất tốt và nói chung tốt và phục vụ với phụ kiện tốt,"{PERFORMANCE, positive}, {GENERAL, positive}, {SER_ACC, positive}"
